resource_kind,action_count,exact_action_count,proxy_action_count,reuse_hit_count,reuse_hit_rate,fresh_saved_ms,fresh_total_ms,reuse_total_ms,fresh_p95_sum_ms,reuse_p95_sum_ms,speedup_ratio
build_cache,85,15,70,85,1.0,6439481.307093992,6555050.774073992,115569.46698000013,6718256.8377260035,118703.4949225,56.71957261175546
dependency_view,65,33,32,65,1.0,1023754.5529700003,1023756.2561629995,1.7031930000000002,1049791.1844665997,132.1676062999997,601080.5916669453
native_binary_bundle,16,5,11,11,0.6875,7365.4059929999985,8829.945486,1464.5394929999998,9331.397879600001,1679.7857124999998,6.029161745520782
node_runtime,64,62,2,64,1.0,3836.3041799999964,8267.138523999995,4430.834344,8807.718825400005,4993.7455377999995,1.8658198168015272
repo_baseline,64,64,0,64,1.0,3561.2928959999986,3700.6866339999997,139.393738,4436.350947499999,1901.3192173999994,26.548442470206226
rootfs,64,62,2,64,1.0,2249.437419999999,2963.2999150000023,713.8624950000003,4195.8335560999985,740.8259927000004,4.1510794246166425
source_overlay,65,65,0,65,1.0,2214.752223,4123.873556,1909.121333,4493.686916,2350.0568106999995,2.1600898197076503
test_transform_cache,70,9,61,70,1.0,400885.6318959999,421554.8410490005,20669.209152999993,495481.72419339936,22050.577641999982,20.395305786908384
