scheduler_name,run_label,seed,decision_count,total_decision_ms,mean_decision_ms,median_decision_ms,p95_decision_ms,max_decision_ms,min_decision_ms
fifo,fifo,,63,0.004705128958448768,7.468458664204394e-05,5.50062395632267e-05,0.00022359308786690216,0.0003960158210247755,5.302717909216881e-05
random,random_seed_11,11,63,0.032334093702957034,0.0005132395825866195,0.0002999731805175543,0.0008801929652690887,0.00589000410400331,0.00023999018594622612
random,random_seed_23,23,63,0.023130007321015,0.00036714297334944444,0.00029199873097240925,0.0005603942554444072,0.0023919856175780296,0.00023900065571069717
random,random_seed_37,37,63,0.0277617946267128,0.00044066340677321905,0.0002929882612079382,0.0004813948180526494,0.0075039861258119345,0.00023501343093812466
random,random_seed_53,53,63,0.020541046978905797,0.00032604836474453645,0.00028000795282423496,0.00046491622924804677,0.0018780119717121124,0.0002309971023350954
random,random_seed_71,71,63,0.024323962861672044,0.000386094648597969,0.0002890010364353657,0.00044640619307756424,0.004230998456478119,0.00023201573640108109
similarity,similarity,,63,0.5055971269030124,0.008025351220682736,0.007797993021085858,0.013550001312978566,0.01712498487904668,0.0006229965947568417
nodelite,nodelite,,63,0.6074159755371511,0.00964152342122462,0.009400013368576765,0.016247006715275347,0.018539023585617542,0.0010459916666150093
