scheduler_name,run_label,seed,transition_index,source_profile_id,target_profile_id,source_sequence_index,target_sequence_index,pair_category,predicted_ms,measured_ms,absolute_error,relative_error,interaction_residual,shared_object_count,source_only_object_count,target_only_object_count,same_node_runtime,same_rootfs,same_repo_baseline,same_dependency_view,same_build_tool,same_test_tool,same_native_bundle,measured_reuse_ms,measured_switch_ms,measured_reload_ms,measured_invalidate_ms,measured_cleanup_ms,shared_object_ids,cold_object_ids
random,random_seed_23,23,18,swesmith/enzymejs__enzyme.61e1b47c,swesmith/iamkun__dayjs.c8a26460,17,25,same_node_diff_rootfs|same_test_tool|low_overlap|rootfs_change,144906.941774,129364.053864,15542.88791,0.120148,-15542.88791,1,7,7,True,False,False,False,False,True,False,0.0,11.357465500000002,129352.696399,0.0,0.0,node_runtime:18.19.1:linux:x86_64:glibc:abi109,build_cache:iamkun__dayjs.c8a26460:root:babel:9ed6e5f7fd04;dependency_view:iamkun__dayjs.c8a26460:root:c68f1e093a72eecf;repo_baseline:iamkun__dayjs:c8a26460d89a2ee9a7d3b9cafa124ea856ee883f;rootfs:node_18-bullseye;source_overlay:iamkun__dayjs.c8a26460:root;test_transform_cache:iamkun__dayjs.c8a26460:root:jest:9ed6e5f7fd04;test_transform_cache:iamkun__dayjs.c8a26460:root:karma:9ed6e5f7fd04
random,random_seed_23,23,19,swesmith/iamkun__dayjs.c8a26460,swesmith/nock__nock.e7418da2,25,40,diff_node_diff_rootfs|same_test_tool|low_overlap|native_abi_change|rootfs_change,44574.23851,39762.43215,4811.806359,0.121014,-4811.806359,0,8,7,False,False,False,False,False,True,False,0.0,11.357465500000002,39751.074685,0.0,0.0,,dependency_view:nock__nock.e7418da2:root:541f81ce3f744a6f;node_runtime:20.19.1:linux:x86_64:glibc:abi115;repo_baseline:nock__nock:e7418da29feb4a7bf0aa1612bfb9d32a4051651e;rootfs:node_20;source_overlay:nock__nock.e7418da2:root;test_transform_cache:nock__nock.e7418da2:root:jest:bf94886cefe6;test_transform_cache:nock__nock.e7418da2:root:mocha:bf94886cefe6
random,random_seed_23,23,20,swesmith/nock__nock.e7418da2,swesmith/ajayyy__SponsorBlock.dfddffbc,40,2,diff_node_diff_rootfs|same_test_tool|low_overlap|native_abi_change|rootfs_change,134003.68495,122815.381949,11188.303,0.091099,-11188.303,0,7,7,False,False,False,False,False,True,False,0.0,11.357465500000002,122804.024484,0.0,0.0,,build_cache:ajayyy__SponsorBlock.dfddffbc:root:webpack:d8254aa65fa6;dependency_view:ajayyy__SponsorBlock.dfddffbc:root:72aaad849c194625;node_runtime:18.19.1:linux:x86_64:glibc:abi109;repo_baseline:ajayyy__SponsorBlock:dfddffbc5128dbc55b4dc7c83cdcd18787f48ba4;rootfs:node_18-slim;source_overlay:ajayyy__SponsorBlock.dfddffbc:root;test_transform_cache:ajayyy__SponsorBlock.dfddffbc:root:jest:d8254aa65fa6
random,random_seed_23,23,21,swesmith/ajayyy__SponsorBlock.dfddffbc,swesmith/GitbookIO__gitbook.81f8ddcf,2,22,diff_node_diff_rootfs|low_overlap|native_abi_change|rootfs_change,230607.093781,205868.331749,24738.762032,0.120168,-24738.762032,0,7,7,False,False,False,False,False,False,False,0.0,11.357465500000002,205856.974283,0.0,0.0,,build_cache:GitbookIO__gitbook.81f8ddcf:root:changesets:88b89ad9c0ff;build_cache:GitbookIO__gitbook.81f8ddcf:root:turbo:88b89ad9c0ff;dependency_view:GitbookIO__gitbook.81f8ddcf:root:b1ab37fbc3435ed4;node_runtime:unknown.x-unavailable:linux:x86_64:glibc:abiunknown;repo_baseline:GitbookIO__gitbook:81f8ddcf27ec398a33b6f676a81e9a791b673ce2;rootfs:unknown;source_overlay:GitbookIO__gitbook.81f8ddcf:root
random,random_seed_23,23,22,swesmith/GitbookIO__gitbook.81f8ddcf,swesmith/ueberdosis__tiptap.2d6de06c,22,58,diff_node_diff_rootfs|same_build_tool|low_overlap|native_abi_change|rootfs_change,244752.184929,218965.675579,25786.509351,0.117765,-25786.509351,0,7,9,False,False,False,False,True,False,False,0.0,11.357465500000002,218954.31811300002,0.0,0.0,,build_cache:ueberdosis__tiptap.2d6de06c:root:changesets:85ad102bc603;build_cache:ueberdosis__tiptap.2d6de06c:root:turbo:85ad102bc603;dependency_view:ueberdosis__tiptap.2d6de06c:root:0bd9814a60fd8695;node_runtime:20.19.1:linux:x86_64:glibc:abi115;repo_baseline:ueberdosis__tiptap:2d6de06c34c239e78fedd6bd2a0bcea42d0fdbfa;rootfs:node_20;source_overlay:ueberdosis__tiptap.2d6de06c:root;test_transform_cache:ueberdosis__tiptap.2d6de06c:root:cypress:85ad102bc603;test_transform_cache:ueberdosis__tiptap.2d6de06c:root:vitest:85ad102bc603
random,random_seed_23,23,23,swesmith/ueberdosis__tiptap.2d6de06c,swesmith/reactjs__react-transition-group.2989b5b8,58,46,diff_node_diff_rootfs|low_overlap|native_abi_change|rootfs_change,338295.382458,302018.625378,36276.75708,0.120114,-36276.75708,0,9,9,False,False,False,False,False,False,False,0.0,11.357465500000002,302007.267912,0.0,0.0,,build_cache:reactjs__react-transition-group.2989b5b8:root:babel:d8eb49b0cb73;build_cache:reactjs__react-transition-group.2989b5b8:root:next:d8eb49b0cb73;build_cache:reactjs__react-transition-group.2989b5b8:root:rollup:d8eb49b0cb73;dependency_view:reactjs__react-transition-group.2989b5b8:root:670f3bc8796f5ef3;node_runtime:18.19.1:linux:x86_64:glibc:abi109;repo_baseline:reactjs__react-transition-group:2989b5b87b4b4d1001f21c8efa503049ffb4fe8d;rootfs:node_18-slim;source_overlay:reactjs__react-transition-group.2989b5b8:root;test_transform_cache:reactjs__react-transition-group.2989b5b8:root:jest:d8eb49b0cb73
random,random_seed_23,23,24,swesmith/reactjs__react-transition-group.2989b5b8,swesmith/axios__axios.ef36347f,46,5,same_node_diff_rootfs|same_build_tool|low_overlap|rootfs_change,245260.758094,218965.675579,26295.082515,0.120088,-26295.082515,1,8,8,True,False,False,False,True,False,False,0.0,11.357465500000002,218954.31811300002,0.0,0.0,node_runtime:18.19.1:linux:x86_64:glibc:abi109,build_cache:axios__axios.ef36347f:root:gulp:0b40dadaf3bd;build_cache:axios__axios.ef36347f:root:rollup:0b40dadaf3bd;dependency_view:axios__axios.ef36347f:root:2346329f530df5bd;repo_baseline:axios__axios:ef36347fb559383b04c755b07f1a8d11897fab7f;rootfs:node_18-bullseye;source_overlay:axios__axios.ef36347f:root;test_transform_cache:axios__axios.ef36347f:root:karma:0b40dadaf3bd;test_transform_cache:axios__axios.ef36347f:root:mocha:0b40dadaf3bd
random,random_seed_23,23,25,swesmith/axios__axios.ef36347f,swesmith/coder__code-server.e90504b8,5,13,diff_node_diff_rootfs|low_overlap|native_abi_change|rootfs_change,29905.253608,26665.08832,3240.165287,0.121513,-3240.165287,0,9,5,False,False,False,False,False,False,False,0.0,11.357465500000002,26653.730854999998,0.0,0.0,,dependency_view:coder__code-server.e90504b8:root:cc86648d271cc663;node_runtime:22.23.2:linux:x86_64:glibc:abi127;repo_baseline:coder__code-server:e90504b8cf1d73c36d902bbaaec7bab33f15c42e;rootfs:node_22-bookworm-slim;source_overlay:coder__code-server.e90504b8:root
random,random_seed_23,23,26,swesmith/coder__code-server.e90504b8,swesmith/brianc__node-postgres.ecff60dc,13,11,diff_node_diff_rootfs|low_overlap|native_abi_change|rootfs_change,223438.923856,205868.331749,17570.592107,0.085349,-17570.592107,0,5,7,False,False,False,False,False,False,False,0.0,11.357465500000002,205856.974283,0.0,0.0,,build_cache:brianc__node-postgres.ecff60dc:root:lerna:f43ed1faaa9b;build_cache:brianc__node-postgres.ecff60dc:root:typescript:f43ed1faaa9b;dependency_view:brianc__node-postgres.ecff60dc:root:ac69cf7675d96f1d;node_runtime:20.19.1:linux:x86_64:glibc:abi115;repo_baseline:brianc__node-postgres:ecff60dc8aa0bd1ad5ea8f4623af0756a86dc110;rootfs:node_20-slim;source_overlay:brianc__node-postgres.ecff60dc:root
random,random_seed_23,23,27,swesmith/brianc__node-postgres.ecff60dc,swesmith/strapi__strapi.e5b87a54,11,53,same_node_same_rootfs,125602.383773,96976.397859,28625.985914,0.295185,-28625.985914,2,5,6,True,True,False,False,False,False,False,16.393405,0.0494345,96959.955019,0.0,0.0,node_runtime:20.19.1:linux:x86_64:glibc:abi115;rootfs:node_20-slim,build_cache:strapi__strapi.e5b87a54:root:nx:dc747f5541b9;dependency_view:strapi__strapi.e5b87a54:root:6fe14b23a9f92e6c;native_binary_bundle:strapi__strapi.e5b87a54:root:@swc_core:115;repo_baseline:strapi__strapi:e5b87a54008c9de2b3286a4774635dcf69895d9b;source_overlay:strapi__strapi.e5b87a54:root;test_transform_cache:strapi__strapi.e5b87a54:root:jest:dc747f5541b9
