state_id,policy,random_seed,current_index,current_profile_id,candidate_count,pending_task_count,chosen_profile_id,chosen_rank,chosen_priority_score,chosen_seed_value,chosen_reachable_profile_count,chosen_reachable_pending_tasks,chosen_known_cold_start_ms,chosen_waiting_seconds,selection_metric,selection_reason,reachable_task_count,waiting_seconds,path_20_transition_time_ms,path_20_transition_count,path_20_cold_start_count,path_20_cluster_switch_count,path_20_reuse_hit_rate,path_20_median_transition_ms,path_20_p95_transition_ms,path_50_transition_time_ms,path_50_transition_count,path_50_cold_start_count,path_50_cluster_switch_count,path_50_reuse_hit_rate,path_50_median_transition_ms,path_50_p95_transition_ms,full_transition_time_ms,full_transition_count,full_cold_start_count,full_cluster_switch_count,full_reuse_hit_rate,full_median_transition_ms,full_p95_transition_ms,current_to_seed_ms
snapshot_pos_01,weighted,,1,swesmith/advplyr__audiobookshelf.626596b1,63,63,swesmith/payloadcms__payload.8f660355,1,11442.230731,11442.230731,43,43,437.800755,0.0,11442.230731,weighted,43,0.0,2887614.513709,10,5,7,0.5,288764.160742,355032.2608584499,2887614.513709,10,5,7,0.5,288764.160742,355032.2608584499,2887614.513709,10,5,7,0.5,288764.160742,355032.2608584499,221323.199106
snapshot_pos_16,weighted,,16,swesmith/NativeScript__NativeScript.3d6a4392,48,48,swesmith/payloadcms__payload.8f660355,1,11442.230731,11442.230731,43,43,437.800755,0.0,11442.230731,weighted,43,0.0,2887614.513709,10,4,7,0.6,288764.160742,355032.2608584499,2887614.513709,10,4,7,0.6,288764.160742,355032.2608584499,2887614.513709,10,4,7,0.6,288764.160742,355032.2608584499,221323.199106
snapshot_pos_32,weighted,,32,swesmith/sveltejs__svelte.6c9717a9,32,32,swesmith/payloadcms__payload.8f660355,1,11442.230731,11442.230731,43,43,437.800755,0.0,11442.230731,weighted,43,0.0,2887614.513709,10,5,7,0.5,288764.160742,355032.2608584499,2887614.513709,10,5,7,0.5,288764.160742,355032.2608584499,2887614.513709,10,5,7,0.5,288764.160742,355032.2608584499,221323.199106
snapshot_pos_48,weighted,,48,swesmith/jaredpalmer__formik.91475adb,16,16,swesmith/payloadcms__payload.8f660355,1,11442.230731,11442.230731,43,43,437.800755,0.0,11442.230731,weighted,43,0.0,2887614.513709,10,5,7,0.5,288764.160742,355032.2608584499,2887614.513709,10,5,7,0.5,288764.160742,355032.2608584499,2887614.513709,10,5,7,0.5,288764.160742,355032.2608584499,221323.199106
starvation_probe,weighted,,16,swesmith/NativeScript__NativeScript.3d6a4392,48,48,swesmith/GitbookIO__gitbook.81f8ddcf,48,20000.0,0.0,0,0,3.364077,2000000.0,20000.0,weighted,0,2000000.0,4727017.189402,20,11,12,0.44999999999999996,219358.596167,308606.5893518,5119423.27767,21,11,13,0.47619047619047616,219751.516755,309353.138469,5119423.27767,21,11,13,0.47619047619047616,219751.516755,309353.138469,205868.331749
