state_id,policy,random_seed,current_index,current_profile_id,candidate_count,pending_task_count,chosen_profile_id,chosen_rank,chosen_priority_score,chosen_seed_value,chosen_reachable_profile_count,chosen_reachable_pending_tasks,chosen_known_cold_start_ms,chosen_waiting_seconds,selection_metric,selection_reason,reachable_task_count,waiting_seconds,path_20_transition_time_ms,path_20_transition_count,path_20_cold_start_count,path_20_cluster_switch_count,path_20_reuse_hit_rate,path_20_median_transition_ms,path_20_p95_transition_ms,path_50_transition_time_ms,path_50_transition_count,path_50_cold_start_count,path_50_cluster_switch_count,path_50_reuse_hit_rate,path_50_median_transition_ms,path_50_p95_transition_ms,full_transition_time_ms,full_transition_count,full_cold_start_count,full_cluster_switch_count,full_reuse_hit_rate,full_median_transition_ms,full_p95_transition_ms,current_to_seed_ms
snapshot_pos_01,degree,,1,swesmith/advplyr__audiobookshelf.626596b1,63,63,swesmith/payloadcms__payload.8f660355,1,11442.230731,11442.230731,43,43,437.800755,0.0,43,degree,43,0.0,2887614.513709,10,5,7,0.5,288764.160742,355032.2608584499,2887614.513709,10,5,7,0.5,288764.160742,355032.2608584499,2887614.513709,10,5,7,0.5,288764.160742,355032.2608584499,221323.199106
snapshot_pos_16,degree,,16,swesmith/NativeScript__NativeScript.3d6a4392,48,48,swesmith/payloadcms__payload.8f660355,1,11442.230731,11442.230731,43,43,437.800755,0.0,43,degree,43,0.0,2887614.513709,10,4,7,0.6,288764.160742,355032.2608584499,2887614.513709,10,4,7,0.6,288764.160742,355032.2608584499,2887614.513709,10,4,7,0.6,288764.160742,355032.2608584499,221323.199106
snapshot_pos_32,degree,,32,swesmith/sveltejs__svelte.6c9717a9,32,32,swesmith/payloadcms__payload.8f660355,1,11442.230731,11442.230731,43,43,437.800755,0.0,43,degree,43,0.0,2887614.513709,10,5,7,0.5,288764.160742,355032.2608584499,2887614.513709,10,5,7,0.5,288764.160742,355032.2608584499,2887614.513709,10,5,7,0.5,288764.160742,355032.2608584499,221323.199106
snapshot_pos_48,degree,,48,swesmith/jaredpalmer__formik.91475adb,16,16,swesmith/payloadcms__payload.8f660355,1,11442.230731,11442.230731,43,43,437.800755,0.0,43,degree,43,0.0,2887614.513709,10,5,7,0.5,288764.160742,355032.2608584499,2887614.513709,10,5,7,0.5,288764.160742,355032.2608584499,2887614.513709,10,5,7,0.5,288764.160742,355032.2608584499,221323.199106
starvation_probe,degree,,16,swesmith/NativeScript__NativeScript.3d6a4392,48,48,swesmith/payloadcms__payload.8f660355,1,11442.230731,11442.230731,43,43,437.800755,0.0,43,degree,43,0.0,2887614.513709,10,4,7,0.6,288764.160742,355032.2608584499,2887614.513709,10,4,7,0.6,288764.160742,355032.2608584499,2887614.513709,10,4,7,0.6,288764.160742,355032.2608584499,221323.199106
