profile_id,owner,repo,commit,language,node_version,package_manager,package_manager_version,dependency_roots,discovery_status,discovery_elapsed_ms,validation_status,validation_elapsed_ms
swesmith/nestjs__nest.346c9543,nestjs,nest,346c9543120c692f314bdbf55fc9956d2fa6d87e,typescript,20,npm,,1,success,1105,external_artifact_miss,45436
swesmith/Netflix__falcor.39d64776,Netflix,falcor,39d64776cf9d87781b2791615dcbae73b2bcd2e1,javascript,18,npm,,1,success,1142,other_failure,4
swesmith/nightwatchjs__nightwatch.54c8550c,nightwatchjs,nightwatch,54c8550c75a16c61827c0bad043c7ffa073a52e6,javascript,18,npm,,1,success,1085,success,10457
swesmith/nock__nock.e7418da2,nock,nock,e7418da29feb4a7bf0aa1612bfb9d32a4051651e,javascript,20,npm,,1,success,1081,success,5565
swesmith/novnc__noVNC.d44f7e04,novnc,noVNC,d44f7e04fc456844836c7c5ac911d0f4e8dd06e6,javascript,20,npm,,1,success,1013,success,3147
swesmith/OpenCut-app__OpenCut.e84c0cfd,OpenCut-app,OpenCut,e84c0cfda6784abb9bcb72aae757233cd8951780,typescript,,bun,1.2.18,1,success,1072,other_failure,1184
swesmith/payloadcms__payload.8f660355,payloadcms,payload,8f66035522f568d42098a7ad525e7bf700662b9a,typescript,20,pnpm,10.27.0,1,success,1124,other_failure,8011
swesmith/react-hook-form__react-hook-form.3adba2b8,react-hook-form,react-hook-form,3adba2b816dd50bbca460bbe61df64b50bc6b1da,typescript,18,pnpm,,1,success,1074,other_failure,64098
swesmith/ReactiveX__rxjs.c15b37f8,ReactiveX,rxjs,c15b37f81ba5f5abea8c872b0189a70b150df4cb,typescript,20,yarn,1.22.21,1,success,1141,other_failure,4025
swesmith/reactjs__react-transition-group.2989b5b8,reactjs,react-transition-group,2989b5b87b4b4d1001f21c8efa503049ffb4fe8d,javascript,18,npm,,1,success,1152,other_failure,3
swesmith/Redocly__redoc.d41fd46f,Redocly,redoc,d41fd46f7cbee86bf83dc17b7ec51baf54f72a54,typescript,18,npm,,1,success,1120,external_artifact_miss,2
swesmith/redux-saga__redux-saga.a4ace10d,redux-saga,redux-saga,a4ace10dc3ff182828cd3ee7469f6667e08ceb62,javascript,18,yarn,1.22.22,1,success,1089,external_artifact_miss,53901
swesmith/refined-github__refined-github.d4a7c3fb,refined-github,refined-github,d4a7c3fbfebff5f39a3760effbea7273dea0d01c,typescript,22,npm,,1,success,1106,other_failure,456
swesmith/remy__nodemon.daad5c16,remy,nodemon,daad5c162919fa6abff53be16832bdf55f2204ad,javascript,18,npm,,1,success,1015,success,3410
swesmith/segmentio__evergreen.9b774aee,segmentio,evergreen,9b774aee2d794f6cf2f73a054bd33066ca5898a9,javascript,18,yarn,,1,success,1139,external_artifact_miss,15563
swesmith/Shopify__draggable.8a1eed57,Shopify,draggable,8a1eed57f3ab2dff9371e8ce60fb39ac85871e8d,javascript,20,yarn,,1,success,1097,external_artifact_miss,14107
swesmith/strapi__strapi.e5b87a54,strapi,strapi,e5b87a54008c9de2b3286a4774635dcf69895d9b,typescript,20,yarn,4.12.0,1,success,1644,other_failure,10792
swesmith/sveltejs__svelte.6c9717a9,sveltejs,svelte,6c9717a91f2f6ae10641d1cf502ba13d227fbe45,javascript,18,pnpm,10.4.0,1,success,1075,external_artifact_miss,2425
swesmith/svg__svgo.c06d8f68,svg,svgo,c06d8f6899788defae9594537063c2f4307803e4,javascript,20,yarn,3.8.7,1,success,1023,other_failure,1532
swesmith/tinacms__tinacms.dffb104f,tinacms,tinacms,dffb104f1850cabc15f495a5868a33a66295965a,typescript,20,pnpm,9.15.5,1,success,1125,success,4507
swesmith/trpc__trpc.2f40ba93,trpc,trpc,2f40ba935ad7f7d29eec3f9c45d353450b43e852,typescript,22,pnpm,9.12.2,1,success,1076,other_failure,5672
swesmith/ueberdosis__tiptap.2d6de06c,ueberdosis,tiptap,2d6de06c34c239e78fedd6bd2a0bcea42d0fdbfa,typescript,20,pnpm,9.15.4,1,success,1075,other_failure,4495
swesmith/umijs__qiankun.693cdde7,umijs,qiankun,693cdde75049830820ff9490dd267f9701db25e6,typescript,18,pnpm,9.15.0,1,success,1095,other_failure,4484
swesmith/vitejs__vite.8b47ff76,vitejs,vite,8b47ff76d28630b4dc39c77fbd2762b4c36ad23d,typescript,22,pnpm,10.28.2,1,success,1086,other_failure,4554
swesmith/voideditor__void.17e7a5b1,voideditor,void,17e7a5b1524345b19ab4ee38ec4f9b1b75a1bd00,typescript,20,npm,,1,success,1094,external_artifact_miss,33670
swesmith/webpack__webpack.24e3c2d2,webpack,webpack,24e3c2d2c9f8c6d60810302b2ea70ed86e2863dc,javascript,20,yarn,1.22.22,1,success,1096,other_failure,4
swesmith/websockets__ws.726c3732,websockets,ws,726c3732b3e5319219ed73cac4826fd36917e2e1,javascript,18,npm,,1,success,1062,success,1585
swesmith/welldone-software__why-did-you-render.3ec3512d,welldone-software,why-did-you-render,3ec3512d750c49448fe2241e26d05db9e42f0c21,javascript,20,yarn,,1,success,1093,other_failure,2
