resource_kind,object_name,from_version/config,to_version/config,transition_class,cost_class,median_ms,p95_ms,invalidation_targets,reuse_safe,sample_count,success_count,failure_count,timeout_count,measurement_environment_id,workload_origin,benchmark_id,from_object_id,to_object_id
browser_context,chromium context,151.0.7922.77,151.0.7922.77,dirty_reset,TRANSITION,50.411264,63.71476819999999,,True,7,7,0,0,env:7a9cda66bc6b151a7886,real,BRW-012,browser_context:chromium:151.0.7922.77:default,browser_context:chromium:151.0.7922.77:default
browser_context,chromium context,151.0.7922.77,151.0.7922.77,compatible_reuse,TRANSITION,70.620248,102.86641519999998,,True,7,7,0,0,env:7a9cda66bc6b151a7886,real,BRW-015,browser_context:chromium:151.0.7922.77:default,browser_context:chromium:151.0.7922.77:default
browser_process,chromium,151.0.7922.77,151.0.7922.77,exact_hit,TRANSITION,115.306183,119.53564949999999,,True,7,7,0,0,env:7a9cda66bc6b151a7886,real,BRW-006,browser_process:chromium:151.0.7922.77:headless,browser_process:chromium:151.0.7922.77:headless
browser_process,chromium,cold,151.0.7922.77,process_cold,TRANSITION,281.798033,384.4800666999999,,True,7,7,0,0,env:7a9cda66bc6b151a7886,real,BRW-007,,browser_process:chromium:151.0.7922.77:headless
browser_process,firefox,cold,Mozilla Firefox 153.0.3,process_cold,TRANSITION,1872.738363,1901.8302079,,True,7,7,0,0,env:7a9cda66bc6b151a7886,real,BRW-008,,browser_process:firefox:Mozilla Firefox 153.0.3:headless
browser_process,chromium,151.0.7922.77,151.0.7922.77,exact_hit,TRANSITION,0.606909,1.2929932999999996,,True,7,7,0,0,env:7a9cda66bc6b151a7886,real,BRW-010,browser_process:chromium:151.0.7922.77:headless,browser_process:chromium:151.0.7922.77:headless
browser_process,chromium,151.0.7922.77,151.0.7922.77,incompatible_switch,TRANSITION,276.21473,299.52960759999996,browser_context;browser_profile,True,7,7,0,0,env:7a9cda66bc6b151a7886,real,BRW-016,browser_process:chromium:151.0.7922.77:headless,browser_process:chromium:151.0.7922.77:headless
browser_process,chromium,151.0.7922.77,151.0.7922.77,dirty_reset,TRANSITION,67.046359,68.5837954,,True,7,7,0,0,env:7a9cda66bc6b151a7886,real,BRW-017,browser_process:chromium:151.0.7922.77:headless,browser_process:chromium:151.0.7922.77:headless
browser_process,electron,cold,40.10.2,process_cold,TRANSITION,483.931135,575.3704138,,True,7,7,0,0,env:7a9cda66bc6b151a7886,real,BRW-018,,browser_process:electron:40.10.2:headless
browser_process,electron,40.10.2,40.10.2,dirty_reset,TRANSITION,517.751444,583.3139928,,True,7,7,0,0,env:7a9cda66bc6b151a7886,real,BRW-019,browser_process:electron:40.10.2:headless,browser_process:electron:40.10.2:headless
